name,stage,startTime,endTime,category,description,isHeadliner
School of Rock Houseband,main,12:00,12:30,music,,
NJ Gay Men's Choir,main,12:30,13:00,choir,,
Pride Choir,main,13:00,13:20,choir,,
Austin Hall,main,13:20,13:40,music,,
Rocking for Inclusion,main,13:40,14:00,music,,
Justice LaBrave,main,14:00,14:20,drag,,
Isabel Cruz,main,14:20,14:40,music,,
Dance Mob,main,14:40,15:00,dance,,
Kris Cherry,main,15:00,15:15,drag,,
Amanda is Tall,main,15:15,15:30,music,,
HAIR – Vanguard Theater Co.,main,15:30,15:50,theater,,
NAIM,main,15:50,16:00,music,,
La Diva Ciccone,main,16:00,16:10,drag,,
Tiger James,main,16:10,16:20,music,,
Mimi Sashimi,main,16:00,16:20,drag,,
Rocky Horror – Ordinary Kids,main,16:20,16:40,theater,,
Hades Nuttzz,main,16:40,17:00,drag,,
DANE,main,17:00,17:20,music,,
Eddie Nicholas,main,17:20,17:35,other,,
She Ain't Right,main,17:35,17:50,music,,
DANE & Kris Cherry,main,17:50,18:00,music,,
DJ Vito Fun – Street Dance Party,main,18:00,21:00,dj,Close out Pride with the ultimate dance party on Bloomfield Ave!,TRUE
DJ Jspins,schoolofrock,12:00,12:30,dj,,
Lady Keyante,schoolofrock,12:30,12:50,drag,,
Austin Hall,schoolofrock,12:50,13:10,music,,
Ela Martini,schoolofrock,13:10,13:30,music,,
Drums of Thunder,schoolofrock,13:30,14:00,music,,
NJ Gay Men's Choir,schoolofrock,14:00,14:20,choir,,
Gigi Martini Drag Storytime (Spanish),schoolofrock,14:20,14:40,kids,,
Grayson Tyler,schoolofrock,14:40,15:00,music,,
Pride Choir,schoolofrock,15:00,15:20,choir,,
DJ Jspins,schoolofrock,15:20,15:40,dj,,
Gigi Martini,schoolofrock,15:40,16:00,drag,,
Marina DeMaio,schoolofrock,16:00,16:20,music,,
Solsista Funk,schoolofrock,16:20,16:40,music,,
Adjustable Thrills,schoolofrock,16:00,16:20,music,,
RusseyDesigns,schoolofrock,16:20,16:40,other,,
Indie Illusion,schoolofrock,16:40,17:00,music,,
School of Rock,schoolofrock,17:00,17:20,music,,
Joe Colwell,schoolofrock,17:20,17:40,music,,
She's All That,schoolofrock,17:40,18:00,music,Headlining the School of Rock Stage!,TRUE
